PRECINCT_NAME	CANDIDATE_FULL_NAME	contest_party_id	candidate_party_id	CONTEST_TYPE	contest_id	CONTEST_ORDER	CANDIDATE_ORDER	CONTEST_FULL_NAME	TOTAL	PRECINCT_ID	precinct_order	contest_vote_for	PROCESSED_DONE	PROCESSED_STARTED	CONTEST_TOTAL	IS_WRITEIN	undervote	overvote
5971 1 - GL2 DMF12 DV97 PE11	Election Day Paper Turnout			-2	0	-100	1	Registration & Turnout	122	1	1	0	0	0	6733	0	0	0
5971 1 - GL2 DMF12 DV97 PE11	Early Voting Paper Turnout			-2	0	-100	2	Registration & Turnout	1684	1	1	0	0	0	6733	0	0	0
5971 1 - GL2 DMF12 DV97 PE11	Early Voting Edge Turnout			-2	0	-100	3	Registration & Turnout	0	1	1	0	0	0	6733	0	0	0
5971 1 - GL2 DMF12 DV97 PE11	Election Day Edge  Turnout			-2	0	-100	4	Registration & Turnout	0	1	1	0	0	0	6733	0	0	0
5971 1 - GL2 DMF12 DV97 PE11	 - BUDGET INCREASE, YES		0	4	51	52	1	DEER VALLEY USD #97 QUESTION	999	1	1	1	1	1	1804	0	2	0
5971 1 - GL2 DMF12 DV97 PE11	 - BUDGET INCREASE, NO		0	4	51	52	2	DEER VALLEY USD #97 QUESTION	805	1	1	1	1	1	1804	0	2	0
5972 2 - GL2 DMF12 DV97 PE11	Election Day Paper Turnout			-2	0	-100	1	Registration & Turnout	184	2	2	0	0	0	15458	0	0	0
5972 2 - GL2 DMF12 DV97 PE11	Early Voting Paper Turnout			-2	0	-100	2	Registration & Turnout	3770	2	2	0	0	0	15458	0	0	0
5972 2 - GL2 DMF12 DV97 PE11	Early Voting Edge Turnout			-2	0	-100	3	Registration & Turnout	0	2	2	0	0	0	15458	0	0	0
5972 2 - GL2 DMF12 DV97 PE11	Election Day Edge  Turnout			-2	0	-100	4	Registration & Turnout	0	2	2	0	0	0	15458	0	0	0
5972 2 - GL2 DMF12 DV97 PE11	 - BUDGET INCREASE, YES		0	4	51	52	1	DEER VALLEY USD #97 QUESTION	2171	2	2	1	1	1	3949	0	3	2
5972 2 - GL2 DMF12 DV97 PE11	 - BUDGET INCREASE, NO		0	4	51	52	2	DEER VALLEY USD #97 QUESTION	1778	2	2	1	1	1	3949	0	3	2
5973 3 - GL2 DMF12 DV97 PE11	Election Day Paper Turnout			-2	0	-100	1	Registration & Turnout	147	3	3	0	0	0	13579	0	0	0
5973 3 - GL2 DMF12 DV97 PE11	Early Voting Paper Turnout			-2	0	-100	2	Registration & Turnout	2640	3	3	0	0	0	13579	0	0	0
5973 3 - GL2 DMF12 DV97 PE11	Early Voting Edge Turnout			-2	0	-100	3	Registration & Turnout	0	3	3	0	0	0	13579	0	0	0
5973 3 - GL2 DMF12 DV97 PE11	Election Day Edge  Turnout			-2	0	-100	4	Registration & Turnout	0	3	3	0	0	0	13579	0	0	0
